time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,dust
2025-09-23T00:00,46.3,46.0,469.0,68.6,4.0,0.0
2025-09-23T01:00,39.1,38.6,408.0,63.4,5.0,0.0
2025-09-23T02:00,32.6,32.1,322.0,56.9,7.0,0.0
2025-09-23T03:00,27.6,27.2,267.0,50.4,10.0,0.0
2025-09-23T04:00,21.2,20.8,266.0,44.2,14.0,0.0
2025-09-23T05:00,15.9,15.6,296.0,38.0,19.0,0.0
2025-09-23T06:00,26.7,26.4,348.0,45.2,10.0,0.0
2025-09-23T07:00,23.3,23.1,443.0,39.6,20.0,0.0
2025-09-23T08:00,16.6,16.3,559.0,31.6,35.0,0.0
2025-09-23T09:00,13.2,12.9,623.0,24.3,50.0,0.0
2025-09-23T10:00,10.1,9.8,589.0,18.2,65.0,0.0
2025-09-23T11:00,8.8,8.5,503.0,12.8,81.0,0.0
2025-09-23T12:00,7.7,7.4,422.0,8.8,92.0,0.0
2025-09-23T13:00,7.3,7.1,353.0,6.2,97.0,0.0
2025-09-23T14:00,6.3,6.1,289.0,5.2,99.0,0.0
2025-09-23T15:00,5.3,5.2,271.0,6.8,94.0,0.0
2025-09-23T16:00,4.8,4.7,335.0,12.5,81.0,0.0
2025-09-23T17:00,4.7,4.6,445.0,20.9,63.0,0.0
2025-09-23T18:00,19.8,18.6,529.0,27.5,59.0,1.0
2025-09-23T19:00,36.1,35.2,559.0,37.1,45.0,1.0
2025-09-23T20:00,40.5,39.5,562.0,50.1,27.0,1.0
2025-09-23T21:00,41.9,40.9,550.0,58.9,13.0,1.0
2025-09-23T22:00,48.5,47.4,522.0,59.2,9.0,1.0
2025-09-23T23:00,48.9,47.8,480.0,55.3,10.0,1.0
2025-09-24T00:00,45.9,44.8,436.0,51.7,11.0,1.0
2025-09-24T01:00,48.8,47.8,389.0,50.2,11.0,1.0
2025-09-24T02:00,46.2,45.4,342.0,49.1,11.0,1.0
2025-09-24T03:00,39.9,39.1,311.0,47.5,12.0,1.0
2025-09-24T04:00,32.7,31.9,302.0,45.6,12.0,1.0
2025-09-24T05:00,26.0,25.3,310.0,43.2,11.0,0.0
2025-09-24T06:00,15.2,14.8,342.0,38.7,15.0,0.0
